date,Suspended Matter,Dissolved Organic Matter,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Temperature
24 November 2016,0.39214081,0.349475329,,,,,,
24 November 2016,0.39214081,0.297521781,,,,,,
24 November 2016,0.418665516,0.349475329,,,,,,
24 November 2016,0.418665516,0.297521781,,,,,,
27 November 2016,0.392947126,0.29894951,,,,,,
28 November 2016,0.40770453,0.331488206,,,,,,
01 December 2016,0.392078291,,,,,,,
01 December 2016,0.444195002,,,,,,,
02 December 2016,0.445109386,,,,,,,
02 December 2016,0.437561516,,,,,,,
05 December 2016,0.43745597,0.459794711,,,,,,
06 December 2016,0.411997769,,,,,,,
06 December 2016,0.405672323,,,,,,,
09 December 2016,0.405791093,0.491634448,,,,,,
10 December 2016,0.420606016,0.34711766,,,,,,25.63813891
13 December 2016,0.407454013,0.32077319,,,,,,
13 December 2016,0.407454013,0.295927529,,,,,,
13 December 2016,0.407454013,0.300534235,,,,,,
13 December 2016,0.48452028,0.32077319,,,,,,
13 December 2016,0.48452028,0.295927529,,,,,,
13 December 2016,0.48452028,0.300534235,,,,,,
13 December 2016,0.411833117,0.32077319,,,,,,
13 December 2016,0.411833117,0.295927529,,,,,,
13 December 2016,0.411833117,0.300534235,,,,,,
14 December 2016,0.408244046,0.322089875,,,,,,
14 December 2016,0.408244046,0.302419787,,,,,,
14 December 2016,0.415311652,0.322089875,,,,,,
14 December 2016,0.415311652,0.302419787,,,,,,
16 December 2016,0.415824468,0.303667047,,,,,,
17 December 2016,0.419821533,0.354321465,,,,,,
20 December 2016,0.400559444,0.311578461,,,,,,
20 December 2016,0.400559444,0.345551009,,,,,,
20 December 2016,0.405639722,0.311578461,,,,,,
20 December 2016,0.405639722,0.345551009,,,,,,
21 December 2016,0.40568136,0.34619211,,,,,,
21 December 2016,0.40568136,0.299072109,,,,,,
21 December 2016,0.38319043,0.34619211,,,,,,
21 December 2016,0.38319043,0.299072109,,,,,,
24 December 2016,0.383985025,0.300569498,,,,,,21.84950439
25 December 2016,0.392302289,0.332869116,,,,,,
28 December 2016,0.395717979,0.311174918,,,,,,
28 December 2016,0.395717979,0.328351576,,,,,,
28 December 2016,0.404830121,0.311174918,,,,,,
28 December 2016,0.404830121,0.328351576,,,,,,
29 December 2016,0.396119382,0.329534679,,,,,,
29 December 2016,0.396119382,0.295547292,,,,,,
29 December 2016,0.387185112,0.329534679,,,,,,
29 December 2016,0.387185112,0.295547292,,,,,,
01 January 2017,0.387196278,,,,,,,
02 January 2017,0.425319691,0.287981383,,,,,,18.45570978
02 January 2017,0.425319691,0.341843056,,,,,,18.45570978
02 January 2017,0.626056953,0.287981383,,,,,,18.45570978
02 January 2017,0.626056953,0.341843056,,,,,,18.45570978
05 January 2017,0.626747184,0.478633534,,,,,,32.08249406
05 January 2017,0.416215617,0.478633534,,,,,,32.08249406
06 January 2017,0.418556318,,,,,,,
06 January 2017,0.414790071,,,,,,,
09 January 2017,0.414340012,0.58374761,,,,,,
09 January 2017,0.517499171,0.58374761,,,,,,
10 January 2017,0.473073201,,,,,,,
10 January 2017,0.518194392,,,,,,,
12 January 2017,0.473786367,,,,,,,
12 January 2017,0.405995684,,,,,,,
13 January 2017,0.406020016,0.360413464,,,,,,
13 January 2017,0.406020016,0.31363093,,,,,,
13 January 2017,0.385922293,0.360413464,,,,,,
13 January 2017,0.385922293,0.31363093,,,,,,
16 January 2017,0.387044203,0.314993567,,,,,,20.82644187
16 January 2017,0.387044203,0.451649245,,,,,,20.82644187
16 January 2017,0.517950524,0.314993567,,,,,,20.82644187
16 January 2017,0.517950524,0.451649245,,,,,,20.82644187
17 January 2017,0.517493186,0.452175999,,,,,,
17 January 2017,0.517493186,0.341847585,,,,,,
17 January 2017,0.42876031,0.452175999,,,,,,
17 January 2017,0.42876031,0.341847585,,,,,,
20 January 2017,0.429370774,0.343095262,,,,,,
20 January 2017,0.429370774,0.409127024,,,,,,
20 January 2017,0.479583702,0.343095262,,,,,,
20 January 2017,0.479583702,0.409127024,,,,,,
21 January 2017,0.440508255,0.409204883,,,,,,
21 January 2017,0.440508255,0.344757365,,,,,,
21 January 2017,0.478995116,0.409204883,,,,,,
21 January 2017,0.478995116,0.344757365,,,,,,
24 January 2017,0.441184271,0.346520223,,,,,,
24 January 2017,0.441184271,0.360888169,,,,,,
24 January 2017,0.422516543,0.346520223,,,,,,
24 January 2017,0.422516543,0.360888169,,,,,,
25 January 2017,0.422798599,0.362350048,,,,,,18.346574
25 January 2017,0.422798599,0.32408153,,,,,,18.346574
25 January 2017,0.418044603,0.362350048,,,,,,18.346574
25 January 2017,0.418044603,0.32408153,,,,,,18.346574
28 January 2017,0.417687793,0.324727039,,,,,,
28 January 2017,0.417687793,0.336458128,,,,,,
28 January 2017,0.403457519,0.324727039,,,,,,
28 January 2017,0.403457519,0.336458128,,,,,,
29 January 2017,0.403120283,0.337533173,,,,,,
29 January 2017,0.403120283,0.286562663,,,,,,
29 January 2017,0.3834512,0.337533173,,,,,,
29 January 2017,0.3834512,0.286562663,,,,,,
01 February 2017,0.384252913,0.421965601,,,,,,
01 February 2017,0.384252913,0.567336819,,,,,,
01 February 2017,0.40712286,0.421965601,,,,,,
01 February 2017,0.40712286,0.567336819,,,,,,
02 February 2017,0.40247095,0.343248153,,,,,,
02 February 2017,0.40247095,0.300381173,,,,,,
02 February 2017,0.407614318,0.343248153,,,,,,
02 February 2017,0.407614318,0.300381173,,,,,,
05 February 2017,0.429434524,,,,,,,
05 February 2017,0.402374168,,,,,,,
06 February 2017,0.431053391,,,,,,,36.84592637
06 February 2017,0.451825971,,,,,,,36.84592637
08 February 2017,0.45173126,0.556468033,,,,,,
08 February 2017,0.42463057,0.556468033,,,,,,
09 February 2017,0.424626703,0.491485691,,,,,,
